[iter 0]:[0. 0. 0.],[0.0001 0.0001 0.0001],[0.3281 0.2891 0.2535]
[iter 1]:[0. 0. 0.],[0.0513 0.0433 0.0524],[0.5562 0.4916 0.4191]
[iter 2]:[0.0129 0.0078 0.0138],[0.1058 0.0934 0.101 ],[0.6247 0.5514 0.4647]
[iter 3]:[0.0258 0.0188 0.026 ],[0.158  0.1402 0.1418],[0.6433 0.5688 0.4794]
[iter 4]:[0.0359 0.0285 0.0368],[0.2089 0.1839 0.1766],[0.653  0.5782 0.4879]
[iter 5]:[0.043  0.0355 0.0443],[0.2542 0.2215 0.2037],[0.6616 0.5866 0.4956]
[iter 6]:[0.048  0.0402 0.0492],[0.2916 0.2522 0.2249],[0.6699 0.5949 0.5033]
[iter 7]:[0.0515 0.0436 0.0526],[0.32   0.2754 0.2407],[0.6769 0.6018 0.5098]
[iter 8]:[0.0545 0.0465 0.0554],[0.3427 0.2938 0.2532],[0.6823 0.6072 0.5148]
[iter 9]:[0.0569 0.0487 0.0576],[0.3606 0.3086 0.2633],[0.6868 0.6117 0.519 ]
[iter 10]:[0.0588 0.0505 0.0594],[0.3755 0.3209 0.2718],[0.6906 0.6156 0.5226]
[iter 11]:[0.0606 0.0522 0.061 ],[0.3886 0.3318 0.2793],[0.694  0.619  0.5259]
[iter 12]:[0.0619 0.0534 0.0621],[0.3985 0.3403 0.2855],[0.697  0.6219 0.5286]
[iter 13]:[0.0633 0.0547 0.0633],[0.4077 0.3481 0.2911],[0.6994 0.6243 0.5309]
[iter 14]:[0.0642 0.0555 0.064 ],[0.4147 0.3541 0.2956],[0.7016 0.6266 0.533 ]
[iter 15]:[0.0652 0.0563 0.0648],[0.4204 0.3589 0.2989],[0.703  0.628  0.5343]
[iter 16]:[0.0657 0.0568 0.0652],[0.4246 0.3624 0.3017],[0.7044 0.6295 0.5357]
[iter 17]:[0.0663 0.0573 0.0657],[0.4287 0.3659 0.3041],[0.7056 0.6307 0.5369]
[iter 18]:[0.0667 0.0577 0.066 ],[0.4316 0.3684 0.306 ],[0.7065 0.6316 0.5378]
[iter 19]:[0.0671 0.0581 0.0664],[0.4348 0.3712 0.308 ],[0.7076 0.6327 0.5388]
